Timestamp,Attention,Status,Head Direction,Eyes Open,Blink Count,Blink Rate
2026-08-08 16:27:54,55,Slightly Distracted,Left,True,24,31.4
2026-08-08 16:27:55,55,Slightly Distracted,Left,True,24,30.7
2026-08-08 16:27:56,65,Slightly Distracted,Forward,True,24,30.0
2026-08-08 16:27:57,100,Highly Attentive,Forward,True,24,29.4
2026-08-08 16:27:58,96,Highly Attentive,Forward,True,25,30.0
2026-08-08 16:27:59,64,Slightly Distracted,Left,False,25,29.4
2026-08-08 16:28:00,56,Slightly Distracted,Left,True,26,30.0
2026-08-08 16:28:01,65,Slightly Distracted,Left,True,26,29.4
2026-08-08 16:28:02,65,Slightly Distracted,Left,True,26,28.8
2026-08-08 16:28:03,65,Slightly Distracted,Left,True,26,28.3
2026-08-08 16:28:04,64,Slightly Distracted,Left,True,26,27.8
2026-08-08 16:28:05,63,Slightly Distracted,Left,True,27,28.3
2026-08-08 16:28:06,61,Slightly Distracted,Left,True,28,28.8
2026-08-08 16:28:07,62,Slightly Distracted,Left,True,29,29.4
2026-08-08 16:28:08,63,Slightly Distracted,Left,False,29,28.9
2026-08-08 16:28:09,64,Slightly Distracted,Left,True,30,29.4
2026-08-08 16:28:10,59,Slightly Distracted,Left,True,31,29.8
2026-08-08 16:28:11,65,Slightly Distracted,Left,True,31,29.4
2026-08-08 16:28:12,59,Slightly Distracted,Left,True,32,29.8
2026-08-08 16:28:14,65,Slightly Distracted,Left,True,32,29.4
2026-08-08 16:28:15,65,Slightly Distracted,Left,True,32,28.9
2026-08-08 16:28:16,65,Slightly Distracted,Left,True,32,28.5
2026-08-08 16:28:17,60,Slightly Distracted,Left,False,33,28.9
2026-08-08 16:28:18,55,Slightly Distracted,Left,True,35,30.2
2026-08-08 16:28:19,59,Slightly Distracted,Left,True,35,29.8
2026-08-08 16:28:20,61,Slightly Distracted,Left,True,36,30.2
2026-08-08 16:28:21,59,Slightly Distracted,Left,True,37,30.6
2026-08-08 16:28:22,55,Slightly Distracted,Left,True,37,30.2
2026-08-08 16:28:23,53,Slightly Distracted,Left,True,38,30.6
2026-08-08 16:28:24,55,Slightly Distracted,Left,True,38,30.1
2026-08-08 16:28:25,61,Slightly Distracted,Left,True,38,29.8
2026-08-08 16:28:26,75,Attentive,Left,True,39,30.1
2026-08-08 16:28:27,75,Attentive,Forward,True,39,29.7
2026-08-08 16:28:28,93,Highly Attentive,Forward,True,40,30.1
2026-08-08 16:28:29,77,Attentive,Left,True,40,29.7
2026-08-08 16:28:30,65,Slightly Distracted,Left,True,40,29.4
2026-08-08 16:28:31,71,Attentive,Forward,True,40,29.0
2026-08-08 16:28:32,99,Highly Attentive,Forward,True,40,28.7
2026-08-08 16:28:33,99,Highly Attentive,Left,True,40,28.3
2026-08-08 16:28:34,67,Slightly Distracted,Forward,True,40,28.0
2026-08-08 16:28:35,81,Attentive,Forward,True,40,27.6
2026-08-08 16:28:36,73,Attentive,Forward,True,40,27.3
2026-08-08 16:28:37,87,Highly Attentive,Right,True,40,27.0
2026-08-08 16:28:38,85,Highly Attentive,Forward,True,40,26.7
2026-08-08 16:28:39,87,Highly Attentive,Left,True,40,26.4
